Leaf,InitialKG,FinalKG
1,0.0009957,0.0007595
2,0.0011711,0.0008176
3,0.0008593,0.0006137
4,0.0012812,0.0009287
5,0.0012976,0.0009498
6,0.000923,0.0006872
7,0.0006272,0.0004954
8,0.0007574,0.0005944
9,0.0012325,0.000995
10,0.000962,0.0007368
11,0.0006587,0.0005573
12,0.0014018,0.00097
13,0.0012358,0.000891
14,0.0017239,0.001397
15,0.0008938,0.0006979
16,0.0013533,0.0009567
17,0.0009498,0.0006871
18,0.0011693,0.0008693
19,0.0009331,0.0007498
20,0.0011543,0.0008861
21,0.0004615,0.0003678
22,0.0010322,0.0007677
