"Seconds","AirT","gHa","Rabs","DLTemp","LTemp","Lwatts"
1,29.4,0.042659,1181.9,45.248,32.388,494.11
2,29.4,0.041971,1181.9,0,NA,NA
3,29.4,0.043275,1181.9,0,NA,NA
4,29.4,0.044709,1182.1,0,NA,NA
5,29.4,0.046295,1182.2,0,NA,NA
6,29.4,0.04736,1181.3,0,NA,NA
7,29.4,0.048501,1181.4,0,NA,NA
8,29.4,0.049729,1181.3,0,NA,NA
9,29.4,0.046818,1181.2,0,NA,NA
10,29.4,0.044366,1181.1,0,NA,NA
11,29.4,0.042262,1181.2,0,NA,NA
12,29.4,0.040431,1181.2,0,NA,NA
13,29.4,0.03882,1181.2,0,NA,NA
14,29.4,0.037387,1181.1,0,NA,NA
15,29.4,0.0415,1181.3,0,NA,NA
16,29.4,0.04736,1181.2,46.105,33.287,499.95
17,29.4,0.0567,1180.6,0,NA,NA
18,29.4,0.056233,1181.2,0,NA,NA
19,29.4,0.055778,1181.2,0,NA,NA
20,29.4,0.055334,1180.4,0,NA,NA
21,29.4,0.055554,1180.7,0,NA,NA
22,29.4,0.055778,1180.8,0,NA,NA
23,29.4,0.056004,1180.8,0,NA,NA
24,29.4,0.054686,1180.8,0,NA,NA
25,29.4,0.053457,1180.8,0,NA,NA
26,29.4,0.052308,1180.8,0,NA,NA
27,29.4,0.057919,1180.7,0,NA,NA
28,29.4,0.065838,1180.7,0,NA,NA
29,29.4,0.078253,1180.7,0,NA,NA
30,29.4,0.068591,1180.7,0,NA,NA
31,29.4,0.061803,1180.7,44.862,32.395,494.15
32,29.4,0.0567,1180.8,0,NA,NA
33,29.4,0.0567,1180.8,0,NA,NA
34,29.4,0.0567,1180.7,0,NA,NA
35,29.4,0.0567,1180.7,0,NA,NA
36,29.4,0.058954,1181.2,0,NA,NA
37,29.4,0.0615,1180.9,0,NA,NA
38,29.4,0.064407,1180.8,0,NA,NA
39,29.4,0.058954,1181,0,NA,NA
40,29.4,0.054686,1180.6,0,NA,NA
41,29.4,0.051229,1180.7,0,NA,NA
42,29.4,0.050884,1180.8,0,NA,NA
43,29.4,0.050546,1180.9,0,NA,NA
44,29.4,0.050214,1180.9,0,NA,NA
45,29.4,0.050214,1180.9,0,NA,NA
46,29.4,0.050214,1180.2,46.281,33.394,500.65
47,29.4,0.050214,1180.4,0,NA,NA
48,29.4,0.04381,1181.1,0,NA,NA
49,29.4,0.039362,1181.4,0,NA,NA
50,29.4,0.036041,1181.4,0,NA,NA
51,29.4,0.040346,1181.5,0,NA,NA
52,29.4,0.046686,1181.7,0,NA,NA
53,29.4,0.057422,1181.6,0,NA,NA
54,29.4,0.062112,1181.7,0,NA,NA
55,29.4,0.068176,1181.7,0,NA,NA
56,29.4,0.076454,1181.7,0,NA,NA
57,29.4,0.066591,1181.7,0,NA,NA
58,29.4,0.059767,1181.7,0,NA,NA
59,29.4,0.054686,1181.5,0,NA,NA
60,29.4,0.0549,1181.5,0,NA,NA
61,29.4,0.055115,1180.7,46.161,33.11,498.79
62,29.4,0.055334,1180.5,0,NA,NA
63,29.4,0.057919,1180.5,0,NA,NA
64,29.4,0.060906,1181.3,0,NA,NA
65,29.4,0.064407,1181.1,0,NA,NA
66,29.4,0.055334,1181.2,0,NA,NA
67,29.4,0.049258,1181.1,0,NA,NA
68,29.4,0.044825,1181.3,0,NA,NA
69,29.4,0.049104,1181.1,0,NA,NA
70,29.4,0.0549,1181.2,0,NA,NA
71,29.4,0.063393,1180.9,0,NA,NA
72,29.4,0.052873,1180.8,0,NA,NA
73,29.4,0.046295,1180.1,0,NA,NA
74,29.4,0.041687,1180.8,0,NA,NA
75,29.4,0.042759,1180.7,0,NA,NA
76,29.4,0.04392,1180.7,45.56,32.974,497.91
77,29.4,0.04518,1180.5,0,NA,NA
78,29.4,0.051229,1180.4,0,NA,NA
79,29.4,0.060615,1181.3,0,NA,NA
80,29.4,0.078253,1181.4,0,NA,NA
81,29.4,0.069443,1182.2,0,NA,NA
82,29.4,0.063065,1182.3,0,NA,NA
83,29.4,0.058173,1181.5,0,NA,NA
84,29.4,0.052682,1181.6,0,NA,NA
85,29.4,0.048501,1181.7,0,NA,NA
86,29.4,0.04518,1182,0,NA,NA
87,29.4,0.04518,1182,0,NA,NA
